id,Technology,Experience,Eligible,Not_Eligible
1,"Python,R,Deep Learning,Machine Learning",5,1,0
2,"Python,R,Deep Learning,Machine Learning",1,1,0
3,"Python,R,Data Analysis,Probability Theory",1,1,0
4,"Python,R,Data Analysis,Probability Theory",1,1,0
5,"Python,R,Data Analysis,Probability Theory",1,1,0
6,"Python,R,Data Analysis,Probability Theory",1,1,0
7,"Python,R,Data Analysis,Probability Theory,Big Data",1,1,0
8,"Python,R,Data Analysis,Probability Theory,Predictive Analytics",1,1,0
9,"Python,R,Data Analysis,Probability Theory,Time Series Forecasting",1,1,0
10,"Java,SQL,Python,Data Analysis",4,1,0
11,"Java,SQL,Python,Data Analysis",4,1,0
12,"Java,SQL,Python,Data Analysis",4,1,0
13,"C++,Matlab,Flight Dynamics,Control Systems",6,1,0
14,"Matlab,Power Electronics,Control Systems,Digital Signal Processing",1,1,0
15,"Matlab,C++,Embedded Systems,Signals and Systems",2,1,0
16,"Matlab,C++,Embedded Systems,Signals and Systems",2,1,0
17,"Java,SQL,Web Development,Database Administration",2,1,0
18,"Java,SQL,Web Development,Database Administration",2,1,0
19,"Java,SQL,Web Development,Database Administration",2,1,0
20,"HTML/CSS,JavaScript,Frontend Development,Data Visualization",4,1,0
21,"C++,Digital Logic,FPGA,Embedded Systems",5,1,0
22,"C++,Digital Logic,FPGA,Embedded Systems",6,1,0
23,"C, C++, Java",0,0,1
24,"Matlab,C++,Embedded Systems,Control Systems",3,1,0
25,"Java, C++, SQL",0,0,1
26,"Java, C++, SQL",0,0,1
27,"Java, C++, SQL",0,0,1
28,"Java, C++, SQL",0,0,1
29,"Java, C++, SQL",0,0,1
30,"C, C++, Java",0,0,1
31,"Java, C++, SQL",0,0,1
32,"Java, C++, SQL",0,0,1
33,"Java, C++, SQL",0,0,1
34,"Java, C++, SQL",0,0,1
35,"Java, C++, SQL",0,0,1
36,"Python,Java,Data Analysis,Machine Learning",3,1,0
37,"JavaScript,HTML/CSS,Frontend Development,Data Visualization",3,1,0
38,"Python,Java,Data Analysis,Machine Learning",3,1,0
39,"JavaScript,HTML/CSS,Frontend Development,Data Visualization",3,1,0
40,"Python,R,Data Analysis,Machine Learning",4,1,0
41,"Python, Java, SQL",0,0,1
42,"Python,R,Deep Learning,Machine Learning",2,1,0
43,"Python,R,Deep Learning,Machine Learning",2,1,0
44,"Python,R,Deep Learning,Machine Learning",2,1,0
45,"Python,R,Deep Learning,Machine Learning,Computer Vision",4,1,0
46,"Python,R,Deep Learning,Machine Learning,Natural Language Generation",4,1,0
47,"Python,R,Deep Learning,Machine Learning,Neural Networks",4,1,0
48,"Python,R,Deep Learning,Machine Learning,Reinforcement Learning",4,1,0
49,"Python,R,Probability Theory,Data Analysis,Bayesian Networks",6,1,0
50,"Python,R,Deep Learning,Machine Learning,Data Analysis",6,1,0
51,"Python,R,Data Analysis,Probability Theory,Graph Algorithms",1,1,0
52,"Python,R,Data Analysis,Natural Language Processing",6,1,0
53,"Python,R,Data Analysis,Time Series Analysis",6,1,0
54,"Python,R,Probability Theory,Data Analysis,Time Series Econometrics",6,1,0
55,"C++,Matlab,Embedded Systems,Control Systems",2,1,0
56,"C++,Matlab,Embedded Systems,Control Systems",2,1,0
57,"C++,Matlab,Embedded Systems,Control Systems",2,1,0
58,"C++,Matlab,Embedded Systems,Control Systems",2,1,0
59,"C++,Matlab,Control Systems,Embedded Systems",2,1,0
60,"C++,Matlab,Power Electronics,Embedded Systems",2,1,0
61,"C++,Matlab,Power Systems,Embedded Systems",2,1,0
62,"C++,Matlab,Robotics,Embedded Systems",2,1,0
63,"C++,Matlab,Signal Processing,Embedded Systems",2,1,0
64,"C++,Java,Embedded Systems,FPGA",3,1,0
65,"C, C++, Java",0,0,1
66,"Python, Java, SQL",0,0,1
67,"Java,SQL,Web Development,Database Administration",6,1,0
68,"Java,SQL,Web Development,Database Administration",6,1,0
69,"Java,SQL,Web Development,Database Administration",6,1,0
70,"Java,SQL,Web Development,Database Administration",6,1,0
71,"Python, Java, SQL",0,0,1
72,"C, C++, Java",0,0,1
73,"C, C++, Java",0,0,1
